,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,final_node_allocation,final_gpu_allocation,deadline,exec_time,complete_time,current_duration,speedup
4,9780,1,36,6.0,1.0,MISC,41,05b25af4dd8b,287,0,0,36,"[1.0, 6.0]",,0,0,[22],['MISC'],81.02452594019084,36,77,41.0,1.0
13,67105,1,128,6.0,1.0,T4,24,41f97a75a037,168,0,0,128,"[1.0, 6.0]",,0,0,[14],['T4'],154.31121852379866,128,152,24.0,1.0
9,67165,1,92,6.0,1.0,MISC,82,0ed3eacdff35,574,0,0,92,"[1.0, 6.0]",,0,0,[22],['MISC'],174.364559805405,92,174,82.0,1.0
3,38584,1,27,6.0,0.2,MISC,148,4c03cfeaf363,917,0,0,27,"[0.2, 6.0]",,0,0,[22],['MISC'],185.46810029916975,27,175,148.0,1.0
7,36037,1,49,6.0,1.0,MISC,136,05b25af4dd8b,952,0,0,49,"[1.0, 6.0]",,0,0,[22],['MISC'],185.86476568316868,49,185,136.0,1.0
26,18435,1,176,6.0,0.25,P100,34,ebba56ec23b9,212,0,0,176,"[0.25, 6.0]",,0,0,[15],['P100'],211.75221607210258,176,210,34.0,1.0
18,88406,1,138,6.0,0.25,T4,114,d4d51aca8806,712,0,0,138,"[0.25, 6.0]",,0,0,[26],['T4'],256.40394361812196,138,252,114.0,1.0
16,45272,1,135,6.0,1.0,MISC,134,3f5d4699c3a6,938,0,0,135,"[1.0, 6.0]",,0,0,[22],['MISC'],274.20761760641744,135,269,134.0,1.0
35,82211,1,224,6.0,1.0,P100,48,f5440bdf32a5,336,0,0,224,"[1.0, 6.0]",,0,0,[15],['P100'],273.8683758950376,224,272,48.0,1.0
25,56122,1,174,6.0,1.0,MISC,103,7b76597f4283,721,0,0,174,"[1.0, 6.0]",,0,0,[22],['MISC'],277.0832338746995,174,277,103.0,1.0
37,2602,1,247,6.0,1.0,MISC,31,0ed3eacdff35,217,0,0,247,"[1.0, 6.0]",,0,0,[7],['MISC'],279.3255451747217,247,278,31.0,1.0
21,35720,1,149,6.0,0.25,MISC,130,5b1345f03aa1,812,0,0,149,"[0.25, 6.0]",,0,0,[22],['MISC'],287.4223334863557,149,279,130.0,1.0
5,74735,1,36,6.0,1.0,T4,246,c5307d7cd0cc,1722,0,0,36,"[1.0, 6.0]",,0,0,[26],['T4'],286.6885012026137,36,282,246.0,1.0
40,21925,1,274,6.0,0.25,MISC,28,05b25af4dd8b,175,0,0,274,"[0.25, 6.0]",,0,0,[22],['MISC'],304.5324505826844,274,302,28.0,1.0
42,85759,1,280,6.0,1.0,MISC,27,b2c52019b2c6,189,0,0,280,"[1.0, 6.0]",,0,0,[22],['MISC'],307.254643030387,280,307,27.0,1.0
15,1147,1,135,6.0,1.0,MISC,174,58540f191766,1218,0,0,135,"[1.0, 6.0]",,0,0,[22],['MISC'],314.8055397089965,135,309,174.0,1.0
