job_id,submit_time,duration,jct,num_inst,gpu_type,num_cpu,num_gpu,size,wasted,resource,node,allocated_at,waiting_time,progress
22,0,37,37,1,MISC,6.0,1.0,259,0,"[1.0, 6.0]",0,0,0,37.0
25,0,180,180,1,MISC,6.0,0.5,1170,0,"[0.5, 6.0]",1,0,0,90.0
293,0,64,64,1,T4,6.0,1.0,448,0,"[1.0, 6.0]",2,0,0,64.0
963,0,6378,6378,1,MISC,6.0,0.1,38905,0,"[0.1, 6.0]",3,0,0,637.8000000000001
1608,0,115,115,1,MISC,6.0,1.0,805,0,"[1.0, 6.0]",4,0,0,115.0
1967,0,1423,1423,1,T4,6.0,0.5,9249,0,"[0.5, 6.0]",5,0,0,711.5
2472,0,1697,1697,1,MISC,6.0,0.5,11030,0,"[0.5, 6.0]",6,0,0,848.5
2541,0,31,31,1,MISC,6.0,1.0,217,0,"[1.0, 6.0]",7,0,0,31.0
2735,0,31,31,1,MISC,6.0,1.0,217,0,"[1.0, 6.0]",8,0,0,31.0
2741,0,878,878,1,MISC,4.0,0.25,3731,0,"[0.25, 4.0]",9,0,0,219.5
2851,1,242,242,1,T4,6.0,0.5,1573,0,"[0.5, 6.0]",10,1,0,121.0
3143,1,55,55,1,MISC,6.0,1.0,385,0,"[1.0, 6.0]",11,1,0,55.0
3270,1,3232,3232,1,T4,6.0,0.15,19876,0,"[0.15, 6.0]",12,1,0,484.79999999999995
3548,1,33,33,1,MISC,6.0,1.0,231,0,"[1.0, 6.0]",13,1,0,33.0
3760,1,80,80,1,MISC,6.0,0.25,500,0,"[0.25, 6.0]",14,1,0,20.0
4062,1,204,204,1,MISC,18.0,1.0,3876,0,"[1.0, 18.0]",15,1,0,204.0
4079,1,165,165,1,P100,2.0,0.25,371,0,"[0.25, 2.0]",16,1,0,41.25
4302,1,51,51,1,MISC,6.0,1.0,357,0,"[1.0, 6.0]",17,1,0,51.0
4453,1,13527,13527,1,MISC,0.5,0.25,10145,0,"[0.25, 0.5]",18,1,0,3381.75
4922,1,10393,10393,1,MISC,0.2,0.1,3117,0,"[0.1, 0.2]",19,1,0,1039.3
5030,2,21,21,1,MISC,0.2,0.1,6,0,"[0.1, 0.2]",20,2,0,2.1
5457,2,52,52,1,MISC,6.0,1.0,364,0,"[1.0, 6.0]",21,2,0,52.0
5679,2,11562,11562,1,T4,6.0,0.25,72262,0,"[0.25, 6.0]",22,2,0,2890.5
5795,2,400,400,1,MISC,6.0,0.25,2500,0,"[0.25, 6.0]",23,2,0,100.0
6107,2,66,66,1,T4,6.0,1.0,462,0,"[1.0, 6.0]",24,2,0,66.0
6115,2,183,183,1,MISC,6.0,1.0,1281,0,"[1.0, 6.0]",25,2,0,183.0
6188,2,82,82,1,MISC,6.0,1.0,574,0,"[1.0, 6.0]",26,2,0,82.0
6333,2,673,673,1,T4,10.0,0.5,7066,0,"[0.5, 10.0]",27,2,0,336.5
7412,2,15611,15611,1,MISC,4.0,0.5,70249,0,"[0.5, 4.0]",28,2,0,7805.5
7433,2,28,28,1,MISC,6.0,0.5,182,0,"[0.5, 6.0]",29,2,0,14.0
8782,3,320,320,1,MISC,3.0,0.25,1040,0,"[0.25, 3.0]",30,3,0,80.0
9122,3,24485,24485,1,T4,6.0,0.25,153031,0,"[0.25, 6.0]",31,3,0,6121.25
9940,3,59,59,1,MISC,6.0,0.25,368,0,"[0.25, 6.0]",32,3,0,14.75
10869,3,5408,5408,1,MISC,6.0,0.1,32988,0,"[0.1, 6.0]",33,3,0,540.8000000000001
11086,3,818,818,1,MISC,6.0,1.0,5726,0,"[1.0, 6.0]",34,3,0,818.0
11216,3,45,45,1,T4,6.0,0.25,281,0,"[0.25, 6.0]",35,3,0,11.25
11224,3,6865,6865,1,MISC,6.0,0.1,41876,0,"[0.1, 6.0]",36,3,0,686.5
11278,3,6195,6195,1,MISC,6.0,0.1,37789,0,"[0.1, 6.0]",37,3,0,619.5
11533,3,3155,3155,1,MISC,6.0,0.1,19245,0,"[0.1, 6.0]",38,3,0,315.5
11552,3,400,400,1,MISC,4.0,0.25,1700,0,"[0.25, 4.0]",39,3,0,100.0
11576,4,4034,4034,1,MISC,6.0,1.0,28238,0,"[1.0, 6.0]",40,4,0,4034.0
11968,4,43740,-1,1,T4,6.0,0.25,273375,0,"[0.25, 6.0]",41,4,0,6262.0
12024,4,154,154,1,T4,6.0,1.0,1078,0,"[1.0, 6.0]",42,4,0,154.0
12321,4,7281,7281,1,P100,26.0,1.0,196587,0,"[1.0, 26.0]",43,4,0,7281.0
12419,4,1283,1283,1,T4,2.0,0.5,3207,0,"[0.5, 2.0]",44,4,0,641.5
12691,4,54,54,1,MISC,6.0,2.0,432,0,"[2.0, 6.0]",45,4,0,108.0
12817,4,10224,10224,1,T4,6.0,2.0,81792,0,"[2.0, 6.0]",46,4,0,20448.0
13206,4,14903,14903,1,T4,6.0,0.25,93143,0,"[0.25, 6.0]",47,4,0,3725.75
13441,4,992,992,1,MISC,6.0,0.5,6448,0,"[0.5, 6.0]",48,4,0,496.0
13817,4,49668,-1,1,MISC,6.0,0.25,310425,0,"[0.25, 6.0]",49,4,0,6262.0
13825,5,57850,-1,1,MISC,6.0,0.25,361562,0,"[0.25, 6.0]",19,5,0,6261.75
14157,5,1184,1184,1,MISC,1.0,0.2,1420,0,"[0.2, 1.0]",20,5,0,236.8
14257,5,2833,2833,1,T4,6.0,0.25,17706,0,"[0.25, 6.0]",3,5,0,708.25
14403,5,3292,3292,1,T4,6.0,0.25,20575,0,"[0.25, 6.0]",9,5,0,823.0
14464,5,24,24,1,T4,6.0,1.0,168,0,"[1.0, 6.0]",47,5,0,24.0
14560,5,4677,4677,1,P100,6.0,1.0,32739,0,"[1.0, 6.0]",49,5,0,4677.0
14676,5,759,759,1,MISC,1.0,0.25,948,0,"[0.25, 1.0]",1,5,0,189.75
14728,5,1089,1089,1,MISC,1.0,0.25,1361,0,"[0.25, 1.0]",5,5,0,272.25
15661,5,605,605,1,MISC,6.0,0.25,3781,0,"[0.25, 6.0]",6,5,0,151.25
15719,5,10217,10217,1,MISC,6.0,0.2,63345,0,"[0.2, 6.0]",48,5,0,2043.4
15803,6,2213,2213,1,MISC,18.0,1.0,42047,0,"[1.0, 18.0]",12,6,0,2213.0
15841,6,4792,4792,1,MISC,6.0,0.5,31148,0,"[0.5, 6.0]",16,6,0,2396.0
15875,6,138,138,1,MISC,6.0,0.5,897,0,"[0.5, 6.0]",18,6,0,69.0
16310,6,124,124,1,MISC,6.0,1.0,868,0,"[1.0, 6.0]",33,6,0,124.0
